Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,106,NA
1/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,124,NA
1/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,106,NA
13/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,37,112,NA
17/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,119,NA
20/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,34,95,NA
24/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,112,NA
27/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,112,NA
30/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,98,NA
2/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,37,102,NA
2/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,36,119,NA
2/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,39,107,NA
14/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,104,NA
17/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,37,117,NA
21/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,35,116,NA
24/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,34,101,NA
28/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,35,120,NA
3/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,40,115,NA
3/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,39,125,NA
3/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,42,112,NA
14/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,41,110,NA
17/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,39,122,NA
21/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,37,121,NA
24/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,37,108,NA
28/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,38,126,NA
31/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,43,121,NA
4/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,40,125,NA
4/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,39,130,NA
4/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,112,NA
14/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,36,125,NA
18/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,38,126,NA
21/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,38,114,NA
25/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,39,118,NA
28/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,38,129,NA
5/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,41,138,NA
5/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,42,122,NA
5/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,40,118,NA
5/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,40,128,NA
16/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,39,128,NA
19/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,46,40,117,NA
23/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,128,NA
26/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,42,125,NA
30/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,44,116,NA
6/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,122,NA
6/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,42,127,NA
6/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,45,111,NA
13/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,138,NA
16/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,26,44,131,NA
20/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,41,121,NA
23/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,43,136,NA
27/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,46,142,NA
30/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,25,49,130,NA
7/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,26,47,126,NA
14/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,42,131,NA
15/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,114,NA
18/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,41,133,NA
21/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,41,122,NA
25/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,40,119,NA
28/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,38,127,NA
8/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,38,38,113,NA
8/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,35,116,NA
18/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,36,108,NA
19/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,101,NA
22/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,34,112,NA
23/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,38,116,NA
25/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,92,NA
29/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,28,99,NA
9/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,27,81,NA
9/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,25,75,NA
9/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,27,93,NA
9/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,30,103,NA
15/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,25,86,NA
19/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,32,95,NA
22/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,31,99,NA
25/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,33,102,NA
29/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,97,NA
10/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,33,61,NA
10/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,31,103,NA
10/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,110,NA
13/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,29,109,NA
17/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,30,116,NA
20/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,92,NA
24/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,31,104,NA
25/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,94,NA
26/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,25,62,NA
27/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,19,53,NA
28/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,9,17,51,NA
29/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,8,16,47,NA
14/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,32,91,NA
17/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,29,85,NA
21/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,34,97,NA
24/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,27,89,NA
28/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,16,30,108,NA
12/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,37,110,NA
12/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,29,102,NA
12/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,16,31,92,NA
12/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,27,100,NA
15/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,30,92,NA
19/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,35,80,NA
22/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,32,86,NA
26/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,35,94,NA
29/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,33,103,NA
1/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,21,83,NA
1/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,20,76,NA
1/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,24,80,NA
15/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,21,66,NA
19/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,25,77,NA
22/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,23,83,NA
26/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,21,92,NA
29/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,24,64,NA
2/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,22,69,NA
2/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,21,79,NA
2/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,23,84,NA
2/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,24,89,NA
16/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,27,70,NA
19/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,23,98,NA
23/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,25,88,NA
26/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,27,80,NA
3/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,23,70,NA
3/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,26,80,NA
3/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,26,90,NA
3/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,27,94,NA
16/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,26,79,NA
19/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,27,102,NA
23/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,28,89,NA
26/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,30,97,NA
30/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,27,86,NA
4/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,27,77,NA
4/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,28,81,NA
4/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,29,90,NA
13/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,31,77,NA
16/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,29,93,NA
20/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,28,106,NA
23/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,27,83,NA
27/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,28,98,NA
30/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,27,94,NA
5/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,30,98,NA
5/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,32,102,NA
5/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,29,87,NA
14/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,30,108,NA
18/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,31,97,NA
21/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18,34,104,NA
25/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,28,97,NA
28/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,28,81,NA
6/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,29,91,NA
6/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",19,33,102,NA
6/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",20,32,105,NA
6/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,30,93,NA
15/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18,32,85,NA
18/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,28,100,NA
22/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,35,100,NA
25/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",21,35,97,NA
29/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",19,38,122,NA
7/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,33,98,NA
7/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,35,107,NA
13/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,37,96,NA
14/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,32,93,NA
16/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",17,35,115,NA
20/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18,33,90,NA
23/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,23,89,NA
27/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",16,29,80,NA
30/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,29,82,NA
8/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,26,73,NA
8/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,25,75,NA
17/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,20,72,NA
18/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,29,76,NA
20/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,32,83,NA
22/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,31,102,NA
24/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,22,58,NA
27/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,21,52,NA
31/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9,20,55,NA
9/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,22,60,NA
9/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9,20,54,NA
9/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",8,18,49,NA
14/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9,20,52,NA
17/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",8,19,46,NA
21/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,29,96,NA
24/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,27,70,NA
28/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,28,80,NA
10/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,26,85,NA
10/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,26,83,NA
10/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,27,92,NA
10/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,29,79,NA
15/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,31,87,NA
19/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,25,89,NA
22/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,26,95,NA
25/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,29,86,NA
26/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",26,54,129,NA
27/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18,40,99,NA
28/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,22,55,NA
29/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",9,19,52,NA
11/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,22,71,NA
16/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,25,88,NA
19/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,27,84,NA
23/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,28,73,NA
26/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,24,67,NA
30/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,22,73,NA
12/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,26,75,NA
12/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,24,67,NA
12/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,26,84,NA
14/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,22,72,NA
17/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,25,82,NA
21/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,27,93,NA
24/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,29,82,NA
28/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,26,86,NA
31/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,30,75,NA
1/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,16,45,NA
1/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,17,78,NA
1/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,14,63,NA
13/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,14,54,NA
17/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",8,12,54,NA
20/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,15,64,NA
24/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,17,63,NA
27/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,14,50,NA
31/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,14,70,NA
2/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,14,60,NA
2/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,19,73,NA
2/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,16,65,NA
14/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,16,60,NA
17/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,17,53,NA
21/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,60,NA
24/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,17,61,NA
28/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,15,59,NA
3/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,16,69,NA
3/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,21,79,NA
3/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,18,75,NA
14/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,20,66,NA
17/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,58,NA
21/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,21,66,NA
24/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,20,58,NA
28/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,16,65,NA
31/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,75,NA
4/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,78,NA
4/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,16,68,NA
4/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,61,NA
14/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,19,69,NA
18/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,20,62,NA
21/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,18,69,NA
25/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,15,78,NA
28/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",10,19,78,NA
5/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,21,75,NA
5/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,70,NA
5/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,20,65,NA
5/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,22,65,NA
16/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,20,66,NA
19/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,21,58,NA
23/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,18,65,NA
26/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,21,75,NA
